#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00005_nirspec_f290lp-g395h-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,1615.359,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,CLEAR,Infrared,TYC 4433-1800-1,,jw01128-o005_s00004_nirspec_clear-prism-s1600a1-sub512,272.14476375,69.4579805555556,3,59745.1217309162,168.756,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,CLEAR,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_clear-prism-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,205.902,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f070lp-g140h-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,476.871,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f070lp-g140m-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,196.431,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f100lp-g140h-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,953.742,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f170lp-g235h-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,1421.142,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f170lp-g235m-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,289.911,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f290lp-g395h-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,3384.222,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o006_s00001_nirspec_f290lp-g395m-s200a1-subs200a1,272.14476375,69.4579805555556,3,59740.0853450481,710.571,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,CLEAR,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_clear-prism-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,205.902,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f070lp-g140h-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,476.871,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f070lp-g140m-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,196.431,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f100lp-g140h-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,953.742,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f170lp-g235h-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,1421.142,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f170lp-g235m-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,289.911,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f290lp-g395h-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,3384.222,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o007_s00002_nirspec_f290lp-g395m-s200a2-subs200a2,272.14476375,69.4579805555556,3,59740.1934945736,710.571,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,CLEAR,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_clear-prism-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,205.902,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f070lp-g140h-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,476.871,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f070lp-g140m-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,196.431,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f100lp-g140h-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,953.742,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f170lp-g235h-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,1421.142,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f170lp-g235m-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,289.911,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f290lp-g395h-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,3384.222,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o008_s00003_nirspec_f290lp-g395m-s400a1-subs400a1,272.14476375,69.4579805555556,3,59740.3008981731,710.571,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,CLEAR,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_clear-prism,272.14476375,69.4579805555556,3,59746.461577988,218.833,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f070lp-g140h,272.14476375,69.4579805555556,3,59746.461577988,481.433,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f070lp-g140m,272.14476375,69.4579805555556,3,59746.461577988,218.833,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f100lp-g140h,272.14476375,69.4579805555556,3,59746.461577988,962.866,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f100lp-g140m,272.14476375,69.4579805555556,3,59746.461577988,218.833,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f170lp-g235h,272.14476375,69.4579805555556,3,59746.461577988,1400.534,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f170lp-g235m,272.14476375,69.4579805555556,3,59746.461577988,306.367,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f290lp-g395h,272.14476375,69.4579805555556,3,59746.461577988,3238.734,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00027_nirspec_f290lp-g395m,272.14476375,69.4579805555556,3,59746.461577988,700.267,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,CLEAR,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_clear-prism,272.14476375,69.4579805555556,3,59746.461577988,218.833,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f070lp-g140h,272.14476375,69.4579805555556,3,59746.461577988,481.433,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f070lp-g140m,272.14476375,69.4579805555556,3,59746.461577988,218.833,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f100lp-g140h,272.14476375,69.4579805555556,3,59746.461577988,962.866,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f100lp-g140m,272.14476375,69.4579805555556,3,59746.461577988,218.833,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f170lp-g235h,272.14476375,69.4579805555556,3,59746.461577988,1400.534,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f170lp-g235m,272.14476375,69.4579805555556,3,59746.461577988,306.367,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f290lp-g395h,272.14476375,69.4579805555556,3,59746.461577988,3238.734,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o019_s00028_nirspec_f290lp-g395m,272.14476375,69.4579805555556,3,59746.461577988,700.267,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC/SLIT,JWST,F070LP;G140H,Infrared,1808347,,jw01128004001_03102_00001_nrs2,272.14476375,69.4579805555556,2,59745.0219460532,153.873,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC/SLIT,JWST,F070LP;G140M,Infrared,1808347,,jw01128004001_0310a_00001_nrs2,272.14476375,69.4579805555556,2,59745.0784789699,65.969,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC/SLIT,JWST,F100LP;G140M,Infrared,1808347,,jw01128004001_0310c_00001_nrs2,272.14476375,69.4579805555556,2,59745.0849945139,65.969,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC/SLIT,JWST,F170LP;G235M,Infrared,1808347,,jw01128004001_0310e_00001_nrs2,272.14476375,69.4579805555556,2,59745.0921315046,98.933,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC/SLIT,JWST,F290LP;G395M,Infrared,1808347,,jw01128004001_0310g_00001_nrs2,272.14476375,69.4579805555556,2,59745.1004127893,230.789,59774.8541666,COM,0
